Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1786336759,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1786336760,2,,Aggregated,0.000000,0.000000,86,120,120,680,680,680,680,680,680,680,680,10,0,82,195.04688000088208,16.566700003750157,679.0614999990794,184.8
1786336761,6,,Aggregated,0.000000,0.000000,100,120,130,560,680,680,680,680,680,680,680,20,0,86,184.09331500042754,6.720799996401183,679.0614999990794,184.8
1786336762,8,,Aggregated,0.000000,0.000000,100,110,130,480,560,680,680,680,680,680,680,30,0,100,174.77762666676426,6.720799996401183,679.0614999990794,184.8
1786336763,10,,Aggregated,8.000000,0.000000,83,110,130,480,560,630,680,680,680,680,680,44,0,82,175.14954772774547,6.720799996401183,679.0614999990794,183.20454545454547
1786336764,12,,Aggregated,10.000000,0.000000,92,110,130,480,560,630,680,680,680,680,680,57,0,92,183.5088175443193,6.720799996401183,679.0614999990794,181.71929824561403
1786336765,14,,Aggregated,10.000000,0.000000,100,140,300,420,560,630,680,680,680,680,680,67,0,100,198.86836417941566,6.720799996401183,679.0614999990794,186.62686567164178
1786336766,16,,Aggregated,11.000000,0.000000,110,270,360,420,560,620,680,680,680,680,680,83,0,110,222.47718795192503,6.720799996401183,679.0614999990794,181.93975903614458
1786336767,18,,Aggregated,11.166667,0.000000,140,300,420,490,570,630,680,780,780,780,780,96,0,130,243.93590937514395,6.720799996401183,784.0624999953434,181.22916666666666
1786336768,20,,Aggregated,11.857143,0.000000,210,370,530,540,570,680,780,780,1000,1000,1000,115,0,210,285.27653391312293,6.720799996401183,1003.242799997679,180.36521739130436
1786336769,22,,Aggregated,11.875000,0.000000,240,370,530,560,630,680,790,790,1000,1000,1000,135,0,240,299.98658444453247,6.720799996401183,1003.242799997679,179.17037037037036
1786336770,24,,Aggregated,11.875000,0.000000,250,410,540,560,680,780,850,850,1000,1000,1000,146,0,250,317.5172212329627,6.720799996401183,1003.242799997679,182.3013698630137
1786336771,26,,Aggregated,12.666667,0.000000,330,490,560,570,750,780,850,1000,1100,1100,1100,164,0,300,351.5431451219561,6.720799996401183,1106.1312000019825,181.71951219512195
1786336772,28,,Aggregated,13.000000,0.000000,350,520,570,630,780,850,860,1000,1100,1100,1100,172,0,350,374.95243604656895,6.720799996401183,1106.1312000019825,179.81976744186048
1786336773,30,,Aggregated,13.800000,0.000000,360,550,630,750,850,880,1300,1600,1600,1600,1600,185,0,360,424.0202535135747,6.720799996401183,1597.8879000031156,180.57297297297296
1786336774,32,,Aggregated,14.400000,0.000000,420,570,750,830,1000,1300,1400,1600,1600,1600,1600,199,0,420,482.0637924624967,6.720799996401183,1597.8879000031156,180.36180904522612
1786336775,34,,Aggregated,14.200000,0.000000,490,680,850,860,1200,1400,1700,1800,1900,1900,1900,215,0,490,550.5532288373256,6.720799996401183,1930.2935999949113,181.93488372093023
1786336776,36,,Aggregated,14.700000,0.000000,520,750,860,1000,1400,1700,2000,2000,2200,2200,2200,227,0,520,613.4229268723435,6.720799996401183,2195.422199998575,182.12334801762114
1786336777,38,,Aggregated,14.800000,0.000000,560,850,1000,1200,1700,2000,2200,2200,2500,2500,2500,247,0,560,710.452300404846,6.720799996401183,2501.9522000002326,181.80566801619435
1786336778,40,,Aggregated,14.800000,0.000000,610,890,1200,1300,1800,2100,2200,2300,2500,2500,2500,268,0,610,770.6030070895571,6.720799996401183,2501.9522000002326,181.91044776119404
1786336779,42,,Aggregated,15.000000,0.000000,680,970,1300,1400,1800,2000,2200,2300,2500,2500,2500,287,0,680,818.5514717770275,6.720799996401183,2501.9522000002326,180.4808362369338
1786336780,44,,Aggregated,15.400000,0.000000,750,1100,1300,1500,1800,2000,2200,2300,2500,2500,2500,310,0,750,850.338310645161,6.720799996401183,2501.9522000002326,179.8548387096774
1786336781,46,,Aggregated,15.500000,0.000000,790,1100,1400,1500,1800,2000,2200,2300,2500,2500,2500,338,0,790,871.7818615384887,6.720799996401183,2501.9522000002326,179.94082840236686
1786336782,48,,Aggregated,16.000000,0.000000,850,1100,1400,1600,1800,2000,2200,2300,2500,2500,2500,354,0,850,897.2403019774002,6.720799996401183,2501.9522000002326,178.77118644067798
1786336783,50,,Aggregated,16.300000,0.000000,860,1200,1400,1600,1800,1900,2200,2300,2500,2500,2500,370,0,860,920.1149183783461,6.720799996401183,2501.9522000002326,179.43513513513514
1786336784,52,,Aggregated,17.600000,0.000000,870,1200,1400,1600,1800,2000,2200,2300,2500,2500,2500,377,0,870,936.1861236074043,6.720799996401183,2501.9522000002326,179.55702917771885
1786336785,54,,Aggregated,17.700000,0.000000,900,1300,1600,1600,1900,2200,2400,2500,2500,2500,2500,397,0,900,992.3373697733114,6.720799996401183,2535.0935000024037,179.32241813602016
1786336786,56,,Aggregated,17.500000,0.000000,950,1300,1600,1700,1900,2200,2500,2500,2900,2900,2900,404,0,920,1017.6984551980249,6.720799996401183,2912.0426000008592,179.60148514851485
1786336787,58,,Aggregated,17.500000,0.000000,950,1300,1600,1700,1900,2200,2500,2600,3400,3400,3400,405,0,950,1023.5532207407501,6.720799996401183,3388.878500001738,179.2567901234568
1786336788,60,,Aggregated,17.900000,0.000000,980,1400,1700,1800,2300,3000,3600,3800,4200,4200,4200,432,0,980,1170.1228446759665,6.720799996401183,4227.204499999061,180.27083333333334
1786336789,62,,Aggregated,16.000000,0.000000,1000,1500,1700,1900,2500,3200,3700,3900,4200,4200,4200,442,0,1000,1215.5472825792317,6.720799996401183,4227.204499999061,180.03619909502262
1786336790,64,,Aggregated,15.200000,0.000000,1100,1500,1800,1900,2600,3400,3700,4000,5100,5100,5100,446,0,1100,1238.4621421525096,6.720799996401183,5086.809600004926,179.92152466367713
1786336791,66,,Aggregated,15.600000,0.000000,1100,1600,1900,2200,3000,3600,4200,4800,5100,5100,5100,482,0,1100,1402.491571576826,6.720799996401183,5086.809600004926,180.32157676348547
1786336792,68,,Aggregated,13.600000,0.000000,1200,1700,2000,2300,3200,3700,4300,4800,5100,5100,5100,490,0,1200,1437.0798704082392,6.720799996401183,5086.809600004926,179.9469387755102
1786336793,70,,Aggregated,14.300000,0.000000,1300,1800,2200,2400,3400,3900,4300,4800,5100,5100,5100,521,1,1300,1506.488371785111,6.720799996401183,5086.809600004926,180.43761996161228
1786336794,72,,Aggregated,13.500000,0.000000,1400,1800,2200,2600,3400,3800,4200,4800,5100,5100,5100,552,1,1400,1552.813130253723,6.720799996401183,5086.809600004926,179.04528985507247
1786336795,74,,Aggregated,14.900000,0.000000,1400,1800,2200,2600,3400,3800,4200,4800,5100,5100,5100,559,1,1400,1560.2280765653984,6.720799996401183,5086.809600004926,179.1252236135957
1786336796,76,,Aggregated,17.000000,0.100000,1500,1900,2300,2800,3200,3800,4200,4800,5100,5100,5100,588,1,1500,1604.1067232994342,6.720799996401183,5086.809600004926,178.49489795918367
1786336797,78,,Aggregated,16.300000,0.100000,1500,1900,2400,2800,3400,3800,4200,4800,5100,5100,5100,598,1,1500,1627.128852006799,6.720799996401183,5086.809600004926,178.18227424749165
1786336798,80,,Aggregated,18.800000,0.100000,1600,2100,2500,2800,3400,3800,4200,4700,5100,5100,5100,625,1,1600,1684.647453600085,6.720799996401183,5086.809600004926,178.0752
1786336799,82,,Aggregated,18.800000,0.100000,1600,2100,2500,2800,3500,3800,4200,4700,5100,5100,5100,627,1,1600,1691.3767609251202,6.720799996401183,5086.809600004926,178.32057416267943
1786336800,84,,Aggregated,19.100000,0.100000,1600,2200,2700,2900,3600,3900,4200,4700,5100,5100,5100,663,1,1600,1767.022757616917,6.720799996401183,5086.809600004926,178.92307692307693
1786336801,86,,Aggregated,18.500000,0.100000,1600,2200,2700,2900,3600,3900,4200,4700,5100,5100,5100,665,1,1600,1770.8692590977703,6.720799996401183,5086.809600004926,179.0466165413534
1786336802,88,,Aggregated,18.500000,0.100000,1600,2200,2700,2900,3600,3900,4300,4700,5100,5100,5100,667,1,1600,1778.7619650674924,6.720799996401183,5086.809600004926,178.62968515742128
1786336803,90,,Aggregated,19.300000,0.100000,1700,2200,2800,3000,3700,4100,4800,5300,5800,5800,5800,680,1,1700,1836.6638819117811,6.720799996401183,5790.661999999429,178.93382352941177
1786336804,92,,Aggregated,18.400000,0.100000,1800,2400,2900,3200,3900,4300,5100,5500,5800,5800,5800,710,1,1800,1951.5061371831532,6.720799996401183,5790.661999999429,179.06901408450705
1786336805,94,,Aggregated,15.600000,0.100000,1800,2400,2900,3200,3900,4300,5200,5500,5800,5800,5800,713,1,1800,1961.4004702665354,6.720799996401183,5790.661999999429,178.98877980364657
1786336806,96,,Aggregated,15.600000,0.100000,1800,2400,2900,3200,3900,4300,5200,5500,5800,5800,5800,713,1,1800,1961.4004702665354,6.720799996401183,5790.661999999429,178.98877980364657
1786336807,98,,Aggregated,16.200000,0.000000,1800,2400,2900,3200,3900,4400,5200,5500,7000,7000,7000,714,1,1800,1968.4449063025766,6.720799996401183,6991.127799999958,178.7941176470588
1786336808,100,,Aggregated,12.600000,0.000000,1900,2800,3300,3700,4400,5500,7300,8000,8300,8300,8300,764,1,1800,2245.213385078565,6.720799996401183,8333.684299999732,179.58115183246073
1786336809,100,,Aggregated,12.600000,0.000000,1900,2800,3400,3700,4600,5800,7300,8000,8300,8300,8300,773,1,1900,2285.2401071151667,6.720799996401183,8333.684299999732,179.98188874514878
1786336810,100,,Aggregated,12.100000,0.000000,1900,2800,3500,3800,4800,6100,7300,8000,8300,8300,8300,784,1,1900,2341.3906756377937,6.720799996401183,8333.684299999732,179.2372448979592
1786336811,100,,Aggregated,14.700000,0.000000,2000,3000,3600,3900,5200,6500,7200,8000,8300,8300,8300,828,1,2000,2462.013728381667,6.720799996401183,8333.684299999732,180.05314009661836
1786336812,100,,Aggregated,12.700000,0.000000,2100,3000,3600,3900,5100,6500,7200,8000,8300,8300,8300,835,1,2100,2474.580280958109,6.720799996401183,8333.684299999732,180.43473053892217
1786336813,100,,Aggregated,14.900000,0.000000,2200,3100,3700,4100,5300,6500,7100,8000,8300,8300,8300,886,1,2200,2580.3001451467376,6.720799996401183,8333.684299999732,179.12076749435667
1786336814,100,,Aggregated,16.400000,0.000000,2200,3100,3700,4100,5300,6500,7100,8000,8300,8300,8300,891,1,2200,2582.3056762065216,6.720799996401183,8333.684299999732,179.14814814814815
1786336815,100,,Aggregated,16.400000,0.000000,2200,3100,3700,4100,5300,6500,7100,8000,8300,8300,8300,892,1,2200,2582.2957110986645,6.720799996401183,8333.684299999732,179.19394618834082
1786336816,100,,Aggregated,18.200000,0.000000,2200,3100,3700,4100,5300,6500,7100,8000,8300,8300,8300,896,1,2200,2590.3098747767863,6.720799996401183,8333.684299999732,178.97433035714286
1786336817,100,,Aggregated,18.100000,0.000000,2400,3400,3900,4400,5700,6400,7100,7700,8300,8300,8300,957,1,2400,2731.658380250778,6.720799996401183,8333.684299999732,177.18599791013585
1786336818,100,,Aggregated,17.900000,0.000000,2500,3400,3900,4400,5600,6300,7100,7700,8300,8300,8300,964,1,2500,2744.203757157655,6.720799996401183,8333.684299999732,176.6856846473029
1786336819,100,,Aggregated,19.800000,0.000000,2600,3400,3900,4400,5700,6300,7100,7700,8300,8300,8300,983,2,2600,2761.090605595092,6.720799996401183,8333.684299999732,176.3204476093591
1786336820,100,,Aggregated,23.200000,0.000000,2700,3400,3900,4400,5700,6300,7000,7700,8200,8300,8300,1019,2,2700,2790.618089892028,6.720799996401183,8333.684299999732,176.97448478900884
1786336821,100,,Aggregated,19.800000,0.100000,2700,3400,3900,4400,5600,6300,7000,7700,8200,8300,8300,1036,2,2700,2800.82593474901,6.720799996401183,8333.684299999732,176.51833976833976
1786336822,100,,Aggregated,19.900000,0.100000,2700,3400,3900,4400,5600,6200,7000,7700,8200,8300,8300,1065,2,2700,2801.2144624412804,6.720799996401183,8333.684299999732,176.5136150234742
1786336823,100,,Aggregated,22.000000,0.100000,2700,3400,3900,4300,5600,6200,7000,7700,8200,8300,8300,1080,2,2700,2796.5987941666353,6.720799996401183,8333.684299999732,176.25555555555556
1786336824,100,,Aggregated,23.300000,0.100000,2700,3400,3900,4300,5600,6100,7000,7600,8200,8300,8300,1113,2,2700,2808.4353496855,6.720799996401183,8333.684299999732,175.4950584007188
1786336825,100,,Aggregated,23.500000,0.100000,2700,3400,3900,4300,5600,6100,7000,7600,8200,8300,8300,1119,2,2700,2809.9916486147963,6.720799996401183,8333.684299999732,175.51742627345845
1786336826,100,,Aggregated,19.800000,0.100000,2700,3400,3900,4300,5600,6100,7000,7600,8200,8300,8300,1126,2,2700,2813.285443605635,6.720799996401183,8333.684299999732,175.31438721136766
1786336827,100,,Aggregated,19.800000,0.100000,2700,3400,3900,4300,5600,6100,7000,7600,8200,8300,8300,1126,2,2700,2813.285443605635,6.720799996401183,8333.684299999732,175.31438721136766
1786336828,100,,Aggregated,19.800000,0.100000,2700,3400,3900,4300,5600,6100,7000,7600,8200,8300,8300,1126,2,2700,2813.285443605635,6.720799996401183,8333.684299999732,175.31438721136766
1786336829,100,,Aggregated,22.900000,0.100000,2800,3600,4100,4500,5700,6300,7000,7600,8200,8300,8300,1173,2,2800,2913.306255498706,6.720799996401183,8333.684299999732,175.37510656436487
